5.694,2.868,-0.1219,5.782,4.13,2.525,1.007,-0.3513,6.722,5.726,4.663,3.561,2.428,1.254,nan,-6.724,-5.046,-3.622,-2.326,-1.138,-0.05852,0.8953,1.676,1.678,-1.121,-1.824,-2.525,-3.226,-3.925
-1.03,-3.856,-6.846,-0.9418,-2.595,-4.199,-5.717,-7.076,-0.002391,-0.9978,-2.061,-3.163,-4.297,-5.47,-6.724,nan,1.678,3.102,4.398,5.586,6.666,7.62,8.4,8.402,5.603,4.901,4.199,3.499,2.799
0.6481,-2.178,-5.168,0.7365,-0.9165,-2.521,-4.039,-5.397,1.676,0.6805,-0.3827,-1.485,-2.618,-3.792,-5.046,1.678,nan,1.424,2.72,3.908,4.987,5.941,6.722,6.724,3.925,3.222,2.521,1.82,1.121
2.072,-0.754,-3.744,2.161,0.5076,-1.097,-2.615,-3.973,3.1,2.105,1.041,-0.06057,-1.194,-2.368,-3.622,3.102,1.424,nan,1.296,2.484,3.563,4.517,5.297,5.3,2.501,1.798,1.097,0.3963,-0.3032
3.368,0.5417,-2.448,3.456,1.803,0.199,-1.319,-2.677,4.396,3.4,2.337,1.235,0.1016,-1.072,-2.326,4.398,2.72,1.296,nan,1.188,2.268,3.221,4.002,4.004,1.205,0.5025,-0.199,-0.8994,-1.599
4.556,1.73,-1.26,4.645,2.992,1.387,-0.1309,-1.489,5.584,4.588,3.525,2.423,1.29,0.1162,-1.138,5.586,3.908,2.484,1.188,nan,1.079,2.033,2.814,2.816,0.01685,-0.6857,-1.387,-2.088,-2.787
5.636,2.809,-0.1804,5.724,4.071,2.467,0.9486,-0.4099,6.663,5.668,4.605,3.503,2.369,1.196,-0.05852,6.666,4.987,3.563,2.268,1.079,nan,0.9538,1.734,1.737,-1.063,-1.765,-2.467,-3.167,-3.867
6.589,3.763,0.7734,6.678,5.025,3.42,1.902,0.5439,7.617,6.622,5.559,4.457,3.323,2.149,0.8953,7.62,5.941,4.517,3.221,2.033,0.9538,nan,0.7803,0.7829,-2.016,-2.719,-3.42,-4.121,-4.82
7.37,4.543,1.554,7.458,5.805,4.201,2.683,1.324,8.397,7.402,6.339,5.237,4.103,2.93,1.676,8.4,6.722,5.297,4.002,2.814,1.734,0.7803,nan,0.002532,-2.797,-3.499,-4.201,-4.901,-5.601
7.372,4.546,1.556,7.461,5.808,4.203,2.685,1.327,8.4,7.405,6.341,5.239,4.106,2.932,1.678,8.402,6.724,5.3,4.004,2.816,1.737,0.7829,0.002532,nan,-2.799,-3.502,-4.203,-4.904,-5.603
4.573,1.747,-1.243,4.661,3.008,1.404,-0.114,-1.472,5.601,4.605,3.542,2.44,1.307,0.1331,-1.121,5.603,3.925,2.501,1.205,0.01685,-1.063,-2.016,-2.797,-2.799,nan,0.7025,1.404,2.104,2.804
3.87,1.044,-1.946,3.959,2.306,0.7016,-0.8165,-2.175,4.898,3.903,2.84,1.738,0.6041,-0.5694,-1.824,4.901,3.222,1.798,0.5025,-0.6857,-1.765,-2.719,-3.499,-3.502,0.7025,nan,0.7015,1.402,2.101
3.169,0.3427,-2.647,3.257,1.604,5.831e-05,-1.518,-2.876,4.197,3.201,2.138,1.036,-0.0974,-1.271,-2.525,4.199,2.521,1.097,-0.199,-1.387,-2.467,-3.42,-4.201,-4.203,1.404,0.7015,nan,0.7005,1.4
2.469,-0.3578,-3.347,2.557,0.9039,-0.7004,-2.218,-3.577,3.496,2.501,1.438,0.3357,-0.7979,-1.971,-3.226,3.499,1.82,0.3963,-0.8994,-2.088,-3.167,-4.121,-4.901,-4.904,2.104,1.402,0.7005,nan,0.6994
1.769,-1.057,-4.047,1.857,0.2045,-1.4,-2.918,-4.276,2.797,1.801,0.7383,-0.3637,-1.497,-2.671,-3.925,2.799,1.121,-0.3032,-1.599,-2.787,-3.867,-4.82,-5.601,-5.603,2.804,2.101,1.4,0.6994,nan
